inmates_positive,staff_positive,inmate_deaths,staff_deaths,facility,city,state
570,10,2,0,Terminal Island FCI,san pedro,CA
298,1,3,0,Fort Worth FMC,fort worth,TX
212,13,6,0,Butner Medium I FCI,butner,NC
83,15,1,0,Lompoc USP,lompoc,CA
49,48,7,0,Elkton FCI,lisbon,OH
42,3,0,0,Yazoo City Low FCI,yazoo city,MS
36,1,0,0,Forrest City Low FCI,forrest city,AR
36,10,0,0,Lompoc FCI,lompoc,CA
36,38,2,0,Milan FCI,milan,MI
27,3,0,0,Fort Dix FCI,joint base mdl,NJ
24,0,0,0,Oklahoma City FTC,oklahoma city,OK
18,26,1,0,Danbury FCI,danbury,CT
12,3,0,0,Butner Low FCI,butner,NC
9,17,7,0,Oakdale I FCI,oakdale,LA
7,6,0,0,Atlanta USP,atlanta,GA
7,0,0,0,Central Territorial of the Salvation Army; DBA Salvation Army Correctional Ser (RRC),chicago,IL
7,19,0,0,Chicago MCC,chicago,IL
6,4,0,0,Aliceville FCI,aliceville,AL
6,0,0,0,"Community Resources for Justice, Inc. (RRC)",boston,MA
5,1,0,0,Lexington FMC,lexington,KY
5,6,0,0,Ray Brook FCI,ray brook,NY
4,0,0,0,"Volunteers of America, Inc. (Minnesota) (RRC)",minneapolis,MN
3,4,0,0,Butner FMC,butner,NC
3,0,0,0,"Kintock Group, The (RRC)",newark,NJ
3,0,0,0,Volunteers of America (RRC),metairie,LA
2,2,0,0,Bennettsville FCI,bennettsville,SC
2,0,0,0,"CORE Services Group, Inc. (RRC)",brooklyn,NY
2,0,0,0,"Cherry Street Services, Inc. (RRC)",grand rapids,MI
2,0,0,0,"GEO Reentry of Alaska, Inc. (RRC)",oakland,CA
2,8,0,0,Oakdale II FCI,oakdale,LA
2,7,0,0,Yazoo City USP,yazoo city,MS
1,0,0,0,"Behavioral Systems Southwest, Inc. (RRC)",los angeles,CA
1,0,1,0,Carswell FMC,fort worth,TX
1,0,0,0,"Cherry Street Services, Inc. (RRC)",detroit,MI
1,1,0,0,Coleman Low FCI,sumterville,FL
1,0,0,0,"Community Solutions, Inc. (RRC)",wilmington,DE
1,0,0,0,"Community Solutions, Inc. (RRC)",hartford,CT
1,0,0,0,Devens FMC,ayer,MA
1,0,0,0,"GEO Care, LLC (RRC)",sacramento,CA
1,0,0,0,"Kintock Group, The (RRC)",philadelphia,PA
1,0,0,0,Pioneer Human Services; DBA:  Pioneer Industries (RRC),seattle,WA
1,0,0,0,Seagoville FCI,seagoville,TX
1,0,0,0,Volunteers of America of Greater Ohio (RRC),toledo,OH
1,0,0,0,"Volunteers of America of Western New York, Inc. (RRC)",rochester,NY
1,4,0,0,Yazoo City Medium FCI,yazoo city,MS
0,0,1,0,"Behavioral Systems Southwest, Inc. (RRC)",phoenix,AZ
0,27,0,0,Brooklyn MDC,brooklyn,NY
0,1,0,0,Central Office HQ,washington,DC
0,1,0,0,Coleman I USP,sumterville,FL
0,2,0,0,Cumberland FCI,cumberland,MD
0,1,0,0,Englewood FCI,littleton,CO
0,1,0,0,Fairton FCI,fairton,NJ
0,2,0,0,Forrest City Medium FCI,forrest city,AR
0,1,0,0,Grand Prairie,grand prairie,TX
0,1,0,0,La Tuna FCI,anthony,TX
0,1,0,0,Los Angeles MDC,los angeles,CA
0,1,0,0,McCreary USP,pine knot,KY
0,1,0,0,Memphis FCI,memphis,TN
0,13,0,0,Miami FDC,miami,FL
0,28,0,0,New York MCC,new york,NY
0,10,0,0,Otisville FCI,otisville,NY
0,1,0,0,Southeast RO,atlanta,GA
0,1,0,0,Tallahassee FCI,tallahassee,FL
