inmates_positive,staff_positive,inmate_deaths,staff_deaths,facility,city,state
44,16,0,0,Butner Medium I FCI,butner,NC
36,15,0,0,Danbury FCI,danbury,CT
36,14,5,0,Oakdale I FCI,oakdale,LA
30,15,0,0,Lompoc USP,lompoc,CA
30,3,0,0,Yazoo City Low FCI,yazoo city,MS
20,2,0,0,Forrest City Low FCI,forrest city,AR
14,0,0,0,Butner Low FCI,butner,NC
11,3,0,0,Atlanta USP,atlanta,GA
10,9,3,0,Elkton FCI,lisbon,OH
10,2,0,0,Milan FCI,milan,MI
7,0,0,0,Yazoo City Medium FCI,yazoo city,MS
4,0,0,0,"CORE Services Group, Inc. (RRC)",brooklyn,NY
4,7,0,0,New York MCC,new york,NY
3,2,0,0,Forrest City Medium FCI,forrest city,AR
2,9,0,0,Brooklyn MDC,brooklyn,NY
2,0,0,0,Dismas House of St. Louis (RRC),saint louis,MO
2,1,0,0,Fort Dix FCI,joint base mdl,NJ
2,3,0,0,Otisville FCI,otisville,NY
2,0,0,0,Pioneer Human Services; DBA:  Pioneer Industries (RRC),seattle,WA
1,0,0,0,Aliceville FCI,aliceville,AL
1,0,0,0,"Behavioral Systems Southwest, Inc. (RRC)",phoenix,AZ
1,0,0,0,Bennettsville FCI,bennettsville,SC
1,1,0,0,Butner FMC,butner,NC
1,0,0,0,Carswell FMC,fort worth,TX
1,0,0,0,Community Education Centers; DBA:  CEC (RRC),philadelphia,PA
1,0,0,0,"Community Solutions, Inc. (RRC)",wilmington,DE
1,0,0,0,Cumberland FCI,cumberland,MD
1,0,0,0,Fort Worth FMC,fort worth,TX
1,0,0,0,"Kintock Group, The (RRC)",philadelphia,PA
1,0,0,0,McCreary USP,pine knot,KY
1,0,0,0,Oakdale II FCI,oakdale,LA
1,0,0,0,Rock Valley Community Program (RRC),janesville,WI
1,0,0,0,Seagoville FCI,seagoville,TX
0,1,0,0,Allenwood USP,allenwood,PA
0,3,0,0,Canaan USP,waymart,PA
0,1,0,0,Central Office HQ,washington,DC
0,4,0,0,Chicago MCC,chicago,IL
0,1,0,0,Coleman Low FCI,sumterville,FL
0,1,0,0,Grand Prairie,grand prairie,TX
0,1,0,0,Leavenworth USP,leavenworth,KS
0,1,0,0,Los Angeles MDC,los angeles,CA
0,5,0,0,Ray Brook FCI,ray brook,NY
0,1,0,0,Southeast RO,atlanta,GA
0,3,0,0,Talladega FCI,talladega,AL
0,1,0,0,Tucson USP,tucson,AZ
