inmates_positive,staff_positive,inmate_deaths,staff_deaths,facility,city,state
69,22,0,0,Lompoc USP,lompoc,CA
57,2,0,0,Yazoo City Low FCI,yazoo city,MS
50,27,4,0,Butner Medium I FCI,butner,NC
39,37,6,0,Elkton FCI,lisbon,OH
30,41,0,0,Danbury FCI,danbury,CT
25,0,0,0,Forrest City Low FCI,forrest city,AR
23,33,0,0,Milan FCI,milan,MI
23,2,1,0,Terminal Island FCI,san pedro,CA
21,22,7,0,Oakdale I FCI,oakdale,LA
16,9,0,0,Otisville FCI,otisville,NY
14,0,0,0,Butner Low FCI,butner,NC
10,11,0,0,Chicago MCC,chicago,IL
8,3,0,0,Atlanta USP,atlanta,GA
7,1,0,0,Fort Worth FMC,fort worth,TX
7,2,0,0,Yazoo City Medium FCI,yazoo city,MS
6,3,0,0,Fort Dix FCI,joint base mdl,NJ
5,2,0,0,Cumberland FCI,cumberland,MD
5,3,0,0,Forrest City Medium FCI,forrest city,AR
5,0,0,0,Oakdale II FCI,oakdale,LA
4,3,0,0,Aliceville FCI,aliceville,AL
4,18,0,0,Brooklyn MDC,brooklyn,NY
4,24,0,0,New York MCC,new york,NY
3,0,0,0,Central Territorial of the Salvation Army; DBA Salvation Army Correctional Ser (RRC),chicago,IL
3,6,0,0,Ray Brook FCI,ray brook,NY
3,0,0,0,Volunteers of America (RRC),metairie,LA
2,0,0,0,Carswell FMC,fort worth,TX
2,0,0,0,Dismas House of St. Louis (RRC),saint louis,MO
2,0,0,0,"GEO Reentry of Alaska, Inc. (RRC)",oakland,CA
2,0,0,0,"Kintock Group, The (RRC)",newark,NJ
2,0,0,0,Oklahoma City FTC,oklahoma city,OK
2,0,0,0,Pioneer Human Services; DBA:  Pioneer Industries (RRC),seattle,WA
1,0,0,0,"Behavioral Systems Southwest, Inc. (RRC)",phoenix,AZ
1,1,0,0,Bennettsville FCI,bennettsville,SC
1,0,0,0,Butner FMC,butner,NC
1,0,0,0,"CORE Services Group, Inc. (RRC)",brooklyn,NY
1,0,0,0,"Cherry Street Services, Inc. (RRC)",grand rapids,MI
1,3,0,0,Coleman Low FCI,sumterville,FL
1,0,0,0,Community Education Centers; DBA:  CEC (RRC),philadelphia,PA
1,0,0,0,"Community Solutions, Inc. (RRC)",hartford,CT
1,0,0,0,"Community Solutions, Inc. (RRC)",wilmington,DE
1,0,0,0,"Kintock Group, The (RRC)",philadelphia,PA
1,1,0,0,McCreary USP,pine knot,KY
1,0,0,0,Seagoville FCI,seagoville,TX
0,1,0,0,Allenwood Medium FCI,white deer,PA
0,1,0,0,Allenwood USP,allenwood,PA
0,3,0,0,Canaan USP,waymart,PA
0,1,0,0,Fairton FCI,fairton,NJ
0,1,0,0,Grand Prairie,grand prairie,TX
0,1,0,0,Los Angeles MDC,los angeles,CA
0,1,0,0,Memphis FCI,memphis,TN
0,4,0,0,Miami FDC,miami,FL
0,1,0,0,Southeast RO,atlanta,GA
0,4,0,0,Talladega FCI,talladega,AL
0,1,0,0,Tallahassee FCI,tallahassee,FL
0,1,0,0,Tucson USP,tucson,AZ
